Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Afghanistan,AFG,2019,12.146674,7.530906,4.271503,0.305937,0.038329,0,,0.319298
Albania,ALB,2019,4.86345,0.549397,3.379111,0.154511,0.780432,0,,1.688161
Algeria,DZA,2019,166.64195,1.098606,56.759097,92.436302,10.749352,5.598592,,3.870619
Andorra,AND,2019,0.501848,0,0.501848,0,0,0,,6.505511
Angola,AGO,2019,23.486822,0,12.408835,1.273914,1.937465,7.866608,,0.737992
Anguilla,AIA,2019,0.139475,0,0.139475,0,0,0,,9.380226
Antarctica,ATA,2019,0,,,,0,,,0
Antigua and Barbuda,ATG,2019,0.486373,0,0.486373,0,0,0,,5.008061
Argentina,ARG,2019,167.565587,2.581635,67.148565,91.892025,4.096707,1.846656,,3.741917
Armenia,ARM,2019,5.528755,0.0034,0.781188,4.429036,0.31513,0,,1.869255
Aruba,ABW,2019,0.851153,0,0.851153,0,0,0,,8.006026
Australia,AUS,2019,414.516833,164.066313,141.898646,81.576167,3.024613,20.102012,3.849082,16.446993
Austria,AUT,2019,67.962416,13.00791,34.121605,17.781908,1.770523,0.118252,1.162217,7.58924
Azerbaijan,AZE,2019,38.725131,0.003664,11.771369,23.199752,1.082954,2.667392,,3.854122
Bahamas,BHS,2019,2.63781,0.005674,2.632136,0,0,0,,6.77261
Bahrain,BHR,2019,34.439053,0,3.71479,30.200371,0.523892,0,,20.984426
Bangladesh,BGD,2019,94.215024,13.241119,19.314591,60.198657,1.460656,0,,0.577843
Barbados,BRB,2019,1.215299,0,1.087187,0.057545,0.070568,0,,4.234123
Belarus,BLR,2019,61.022455,3.391863,17.89023,36.479627,2.26705,0.001512,0.992174,6.455756
Belgium,BEL,2019,99.745782,13.191876,45.48219,36.273672,2.819306,0.116104,1.862634,8.643985
Belize,BLZ,2019,0.658381,0,0.64872,0.009661,0,0,,1.686631
Benin,BEN,2019,7.315116,0,7.064422,0.03827,0.212425,0,,0.619865
Bermuda,BMU,2019,0.697992,0.011348,0.686644,0,0,0,,11.166801
Bhutan,BTN,2019,1.927478,0.968259,0.600503,0,0.358716,0,,2.525879
"Bonaire, Saint Eustatius and Saba",BES,2019,0.339746,0,0.339746,0,0,0,,13.077708
Bosnia and Herzegovina,BIH,2019,24.846861,19.292784,4.70622,0.4673,0.380556,0,,7.527071
Botswana,BWA,2019,6.924791,3.98043,2.938161,0,0.0062,0,,3.005947
Brazil,BRA,2019,485.793146,62.068784,311.676279,67.121321,21.029762,17.505,6.392,2.301797
British Virgin Islands,VGB,2019,0.157356,0,0.157356,0,0,0,,5.239958
Brunei Darussalam,BRN,2019,9.958114,0,1.963909,7.331021,0,0.663184,,22.982826
Bulgaria,BGR,2019,42.222519,20.767189,13.064177,5.238993,1.1271,0.826916,1.198143,6.031686
Burkina Faso,BFA,2019,4.335868,0,4.215745,0,0.120123,0,,0.213365
Burundi,BDI,2019,0.704031,0.01553,0.661376,0,0.027125,0,,0.061058
Cambodia,KHM,2019,15.329057,4.554405,7.459078,0,3.315573,0,,0.929792
Canada,CAN,2019,582.389608,57.82122,270.083235,229.266859,7.176731,15.947371,2.094192,15.567316
Cape Verde,CPV,2019,0.602249,0,0.602249,0,0,0,,1.095128
Central African Republic,CAF,2019,0.210438,0,0.210438,0,0,0,,0.044348
Chad,TCD,2019,1.005433,0,0.869811,0,0.135623,0,,0.063049
Chile,CHL,2019,86.129263,27.211037,46.574172,11.532543,0.7822,0.029312,,4.544591
China,CHN,2019,10489.98856,7377.669993,1543.583521,564.602147,826.876048,0,177.256846,7.316298
Christmas Island,CXR,2019,0,,,,,,,0
Colombia,COL,2019,90.419306,16.458157,43.829826,23.865379,5.305976,0.959968,,1.796192
Comoros,COM,2019,0.305838,0,0.305838,0,0,0,,0.359435
DRC,COG,2019,3.291256,0,1.904465,0.937299,0.449492,0,,0.6117
Cook Islands,COK,2019,0.079312,0,0.079312,0,0,0,,4.519701
Costa Rica,CRI,2019,8.817911,0,8.081313,0,0.736598,0,,1.746965
C�te d'Ivoire,CIV,2019,10.479712,0,6.377192,4.10252,0,0,,0.407509
Croatia,HRV,2019,17.778838,1.677532,9.324827,5.244501,1.184111,0.203658,0.144209,4.304486
Cuba,CUB,2019,22.524658,0.022696,19.537171,2.248681,0.71611,0,,1.987444
Cura�ao,CUW,2019,3.761011,0,3.637068,0.123943,0,0,,23.013824
